"Jogo","Titulo","Data e hora no Rio","Duracao prevista","Fase","Estadio","Cidade","Data UTC"
"1","🇲🇽 México x 🇿🇦 África do Sul","11/06/2026, 16:00","2h","Grupo A","Mexico City Stadium","Mexico City","2026-06-11T19:00:00Z"
"2","🇰🇷 Coreia do Sul x 🇨🇿 Tchequia","11/06/2026, 23:00","2h","Grupo A","Guadalajara Stadium","Guadalajara","2026-06-12T02:00:00Z"
"3","🇨🇦 Canadá x 🇧🇦 Bósnia e Herzegovina","12/06/2026, 16:00","2h","Grupo B","Toronto Stadium","Toronto","2026-06-12T19:00:00Z"
"4","🇺🇸 Estados Unidos x 🇵🇾 Paraguai","12/06/2026, 22:00","2h","Grupo D","Los Angeles Stadium","Los Angeles","2026-06-13T01:00:00Z"
"5","🇭🇹 Haiti x 🏴 Escócia","13/06/2026, 22:00","2h","Grupo C","Boston Stadium","Boston","2026-06-14T01:00:00Z"
"6","🇦🇺 Austrália x 🇹🇷 Turquia","14/06/2026, 01:00","2h","Grupo D","BC Place Vancouver","Vancouver","2026-06-14T04:00:00Z"
"7","🇧🇷 Brasil x 🇲🇦 Marrocos","13/06/2026, 19:00","2h","Grupo C","New York/New Jersey Stadium","New York","2026-06-13T22:00:00Z"
"8","🇶🇦 Catar x 🇨🇭 Suíça","13/06/2026, 16:00","2h","Grupo B","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-06-13T19:00:00Z"
"9","🇨🇮 Costa do Marfim x 🇪🇨 Equador","14/06/2026, 20:00","2h","Grupo E","Philadelphia Stadium","Philadelphia","2026-06-14T23:00:00Z"
"10","🇩🇪 Alemanha x 🇨🇼 Curacao","14/06/2026, 14:00","2h","Grupo E","Houston Stadium","Houston","2026-06-14T17:00:00Z"
"11","🇳🇱 Países Baixos x 🇯🇵 Japão","14/06/2026, 17:00","2h","Grupo F","Dallas Stadium","Dallas","2026-06-14T20:00:00Z"
"12","🇸🇪 Suécia x 🇹🇳 Tunísia","14/06/2026, 23:00","2h","Grupo F","Monterrey Stadium","Monterrey","2026-06-15T02:00:00Z"
"13","🇸🇦 Arábia Saudita x 🇺🇾 Uruguai","15/06/2026, 19:00","2h","Grupo H","Miami Stadium","Miami","2026-06-15T22:00:00Z"
"14","🇪🇸 Espanha x 🇨🇻 Cabo Verde","15/06/2026, 13:00","2h","Grupo H","Atlanta Stadium","Atlanta","2026-06-15T16:00:00Z"
"15","🇮🇷 Irã x 🇳🇿 Nova Zelândia","15/06/2026, 22:00","2h","Grupo G","Los Angeles Stadium","Los Angeles","2026-06-16T01:00:00Z"
"16","🇧🇪 Bélgica x 🇪🇬 Egito","15/06/2026, 16:00","2h","Grupo G","Seattle Stadium","Seattle","2026-06-15T19:00:00Z"
"17","🇫🇷 França x 🇸🇳 Senegal","16/06/2026, 16:00","2h","Grupo I","New York/New Jersey Stadium","New York","2026-06-16T19:00:00Z"
"18","🇮🇶 Iraque x 🇳🇴 Noruega","16/06/2026, 19:00","2h","Grupo I","Boston Stadium","Boston","2026-06-16T22:00:00Z"
"19","🇦🇷 Argentina x 🇩🇿 Argélia","16/06/2026, 22:00","2h","Grupo J","Kansas City Stadium","Kansas City","2026-06-17T01:00:00Z"
"20","🇦🇹 Austria x 🇯🇴 Jordânia","17/06/2026, 01:00","2h","Grupo J","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-06-17T04:00:00Z"
"21","🇬🇭 Gana x 🇵🇦 Panamá","17/06/2026, 20:00","2h","Grupo L","Toronto Stadium","Toronto","2026-06-17T23:00:00Z"
"22","🏴 Inglaterra x 🇭🇷 Croácia","17/06/2026, 17:00","2h","Grupo L","Dallas Stadium","Dallas","2026-06-17T20:00:00Z"
"23","🇵🇹 Portugal x 🇨🇩 Congo DR","17/06/2026, 14:00","2h","Grupo K","Houston Stadium","Houston","2026-06-17T17:00:00Z"
"24","🇺🇿 Uzbequistão x 🇨🇴 Colômbia","17/06/2026, 23:00","2h","Grupo K","Mexico City Stadium","Mexico City","2026-06-18T02:00:00Z"
"25","🇨🇿 Tchequia x 🇿🇦 África do Sul","18/06/2026, 13:00","2h","Grupo A","Atlanta Stadium","Atlanta","2026-06-18T16:00:00Z"
"26","🇨🇭 Suíça x 🇧🇦 Bósnia e Herzegovina","18/06/2026, 16:00","2h","Grupo B","Los Angeles Stadium","Los Angeles","2026-06-18T19:00:00Z"
"27","🇨🇦 Canadá x 🇶🇦 Catar","18/06/2026, 19:00","2h","Grupo B","BC Place Vancouver","Vancouver","2026-06-18T22:00:00Z"
"28","🇲🇽 México x 🇰🇷 Coreia do Sul","18/06/2026, 22:00","2h","Grupo A","Guadalajara Stadium","Guadalajara","2026-06-19T01:00:00Z"
"29","🇧🇷 Brasil x 🇭🇹 Haiti","19/06/2026, 21:30","2h","Grupo C","Philadelphia Stadium","Philadelphia","2026-06-20T00:30:00Z"
"30","🏴 Escócia x 🇲🇦 Marrocos","19/06/2026, 19:00","2h","Grupo C","Boston Stadium","Boston","2026-06-19T22:00:00Z"
"31","🇹🇷 Turquia x 🇵🇾 Paraguai","20/06/2026, 00:00","2h","Grupo D","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-06-20T03:00:00Z"
"32","🇺🇸 Estados Unidos x 🇦🇺 Austrália","19/06/2026, 16:00","2h","Grupo D","Seattle Stadium","Seattle","2026-06-19T19:00:00Z"
